repository_folder,n,actor_exact_match,actor_token_f1,exact_name_match,substring_name_match,name_token_f1,description_token_f1,valid_prediction
4jean__lav_sms,11,1.0,1.0,0.2727,0.3636,0.558,0.4615,1.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,7,1.0,1.0,0.2857,0.2857,0.668,0.5519,1.0
Asitha123__Java-Spring-boot-Student-Management-System,4,1.0,1.0,0.5,0.5,0.625,0.3947,1.0
JacksonGao1999__StudentManagement,6,1.0,1.0,0.3333,0.3333,0.5238,0.353,1.0
RameshMF__library-management-system,6,1.0,1.0,0.3333,0.3333,0.6667,0.4966,1.0
SkyCascade__SkyLearn,26,1.0,1.0,0.2692,0.3462,0.5731,0.3483,1.0
abdulwahid880__School-Management-system-in-laravel-,14,1.0,1.0,0.2857,0.3571,0.5646,0.3205,1.0
adityagoyal222__django-lms,13,1.0,1.0,0.6923,0.6923,0.8462,0.458,1.0
engripaye__library-management-system,8,1.0,1.0,0.25,0.25,0.7863,0.3992,1.0
jobic10__student-management-using-django,13,1.0,1.0,0.4615,0.5385,0.7478,0.3537,1.0
knowledgefactory4u__librarymanagementsystem,10,1.0,1.0,0.5,0.5,0.7894,0.3925,1.0
mehmetpekdemir__Library-Management-System,8,1.0,1.0,0.75,0.75,0.8542,0.3331,1.0
mwinamijr__django-scms,14,1.0,1.0,0.1429,0.1429,0.3842,0.2934,1.0
openfun__marsha,15,1.0,1.0,0.1333,0.4,0.622,0.4062,1.0
thakurpdhiraj__library_management_system,12,1.0,1.0,0.25,0.5,0.6558,0.3401,1.0
tough-dev-school__education-backend,17,1.0,1.0,0.2353,0.2353,0.5309,0.3647,1.0
